country_coordinates,Country,Total Deaths,Total Affected,Total Damages ('000 US$),Lat,Lng
122,Marshall Islands (the),6.0,34562.0,4900.0,8.230816999999998,167.7953223704529
123,Martinique,71.0,59421.0,653010.0,14.6113732,-60.9620777
124,Mauritania,273.0,11172573.0,27500.0,20.2540382,-9.2399263
125,Mauritius,39.0,1038482.0,798373.0,-20.2759451,57.5703566
126,Mexico,17772.0,20311103.0,54722515.0,23.6585116,-102.0077097
127,Micronesia (Federated States of),77.0,186065.0,17500.0,8.6062347,151.832744331612
128,Moldova (the Republic of),89.0,2908212.0,800184.0,46.8062905,29.64654425837235
129,Mongolia,319.0,4715298.0,1976864.0,46.8250388,103.8499736
130,Montenegro,1.0,12586.0,0.0,-29.6826112,-51.4687455
131,Montserrat,43.0,25240.0,268000.0,39.3576494,-0.6031
132,Morocco,1974.0,3589427.0,1926159.0,31.1728205,-7.3362482
133,Mozambique,106953.0,39986709.0,3204750.0,-19.302233,34.9144977
134,Myanmar,140505.0,8969412.0,4855713.0,17.1750495,95.9999652
135,Namibia,555.0,3815727.0,195490.0,-23.2335499,17.3231107
136,Nepal,23288.0,17685548.0,6833855.0,28.3780464,83.9999901
137,Netherlands (the),2819.0,265321.0,5484711.0,52.24764975,5.541246849406163
138,Netherlands Antilles,13.0,40000.0,1050000.0,43.6091629,-90.19721422271978
139,New Caledonia,11.0,3537.0,40200.0,-21.3019905,165.4880773
140,New Zealand,233.0,663028.0,30847366.0,-41.5000831,172.8344077
141,Nicaragua,14432.0,5915574.0,3650452.0,12.6090157,-85.2936911
142,Niger (the),10933.0,34710246.0,282039.0,10.7133697,4.2735484
143,Nigeria,29310.0,16109169.0,1093525.0,9.6000359,7.9999721
144,Niue,2.0,1199.0,40000.0,-19.0536414,-169.861341
145,Northern Mariana Islands (the),5.0,860.0,0.0,15.193315,145.748209
146,Norway,16.0,7860.0,693000.0,61.1529386,8.7876653
147,Oman,300.0,33179.0,5172000.0,21.0000287,57.0036901
148,Pakistan,100248.0,98394644.0,29923569.0,30.3308401,71.247499
149,Palau,0.0,22862.0,0.0,42.5717989,2.9600905
150,"Palestine, State of",13.0,126564.0,0.0,,
151,Panama,474.0,406696.0,396250.0,8.559559,-81.1308434
152,Papua New Guinea,3909.0,4805027.0,328003.0,-5.6816069,144.2489081
153,Paraguay,374.0,4279000.0,150557.0,-23.3165935,-58.1693445
154,Peru,86986.0,22935339.0,6201150.0,-6.8699697,-75.0458515
155,Philippines (the),61885.0,236187249.0,28508287.0,16.932122,121.387948
156,Poland,2296.0,381648.0,8427050.0,52.215933,19.134422
157,Portugal,3569.0,212164.0,7707736.0,39.6621648,-8.1353519
158,Puerto Rico,833.0,935799.0,72657800.0,18.2247706,-66.4858295
159,Qatar,0.0,1500.0,10000.0,25.3336984,51.2295295
160,Romania,2953.0,2057777.0,6189918.0,45.9852129,24.6859225
161,Russian Federation (the),61617.0,4525822.0,11521996.0,64.6863136,97.7453061
162,Rwanda,1200.0,6264690.0,72009.0,-1.9646631,30.0644358
163,Réunion,74.0,179516.0,254000.0,-21.1309332,55.5265771
164,Saint Barthélemy,4.0,0.0,0.0,17.9036287,-62.81152921501989
165,"Saint Helena, Ascension and Tristan da Cunha",0.0,300.0,0.0,-15.961264,-5.708248
166,Saint Kitts and Nevis,6.0,14780.0,704900.0,17.250512,-62.6725973
167,Saint Lucia,35.0,312910.0,166780.0,13.8250489,-60.975036
168,Saint Martin (French Part),12.0,110.0,4100000.0,18.0814066,-63.0467131
169,Saint Vincent and the Grenadines,30.0,119780.0,507100.0,12.90447,-61.2765569
170,Samoa,230.0,306223.0,815290.0,-13.7693895,-172.12005
171,Sao Tome and Principe,206.0,95412.0,0.0,0.9713095,7.02255
172,Saudi Arabia,627.0,33760.0,1702000.0,25.6242618,42.3528328
173,Senegal,1495.0,9326206.0,372385.0,14.4750607,-14.4529612
174,Serbia,96.0,224502.0,2308522.0,44.1534121,20.55144
175,Serbia Montenegro,21.0,135199.0,0.0,42.4516555,18.5377805
176,Seychelles,8.0,26016.0,41000.0,-4.6574977,55.4540146
177,Sierra Leone,6734.0,330649.0,33600.0,8.6400349,-11.8400269
178,Singapore,36.0,15289.0,0.0,1.357107,103.8194992
179,Sint Maarten (Dutch part),4.0,5040.0,2500000.0,52.7736657,4.7448352
180,Slovakia,204.0,59658.0,785600.0,48.7411522,19.4528646
181,Slovenia,301.0,66905.0,752000.0,46.1199444,14.8153333
182,Solomon Islands,537.0,445254.0,50000.0,-8.7053941,159.1070693851845
183,Somalia,49759.0,33858712.0,182020.0,8.3676771,49.083416
184,South Africa,2232.0,22287734.0,6913070.0,-28.8166236,24.991639
185,South Sudan,509.0,11550673.0,0.0,7.8699431,29.6667897
186,Soviet Union,26456.0,2343097.0,20387700.0,48.2582473,14.5007542
187,Spain,16750.0,6854961.0,32420297.0,39.3260685,-4.8379791
188,Sri Lanka,39540.0,29730783.0,4421564.0,7.5554942,80.7137847
